22:58:42 0 %, 1 MiB
00:09:46 0 %, 1791 MiB
00:09:52 0 %, 1791 MiB
00:09:57 0 %, 1791 MiB
00:10:03 0 %, 1791 MiB
00:10:08 0 %, 1791 MiB
00:10:14 0 %, 1791 MiB
00:10:19 0 %, 1791 MiB
00:10:25 0 %, 1791 MiB
00:10:30 0 %, 1791 MiB
00:10:36 0 %, 1791 MiB
00:10:41 0 %, 1791 MiB
00:10:47 0 %, 1791 MiB
00:10:52 0 %, 1791 MiB
00:10:58 0 %, 1 MiB
00:11:03 0 %, 1099 MiB
00:11:08 0 %, 1099 MiB
00:11:13 0 %, 1261 MiB
00:11:18 0 %, 1315 MiB
00:11:23 0 %, 1315 MiB
00:11:28 0 %, 1315 MiB
00:11:33 0 %, 1315 MiB
00:11:38 0 %, 1315 MiB
00:11:43 1 %, 1315 MiB
00:11:48 9 %, 1315 MiB
00:11:53 0 %, 1315 MiB
00:11:58 8 %, 1315 MiB
00:12:03 5 %, 1315 MiB
00:12:09 2 %, 1315 MiB
00:12:14 1 %, 1315 MiB
00:12:19 2 %, 1315 MiB
00:12:25 2 %, 1315 MiB
00:12:30 3 %, 1315 MiB
00:12:35 5 %, 1315 MiB
00:12:41 2 %, 1315 MiB
00:12:46 4 %, 1315 MiB
00:12:51 3 %, 1315 MiB
00:12:56 3 %, 1315 MiB
00:13:02 5 %, 1315 MiB
00:13:07 2 %, 1315 MiB
00:13:12 5 %, 1315 MiB
00:13:18 5 %, 1315 MiB
00:13:23 2 %, 1315 MiB
00:13:28 4 %, 1315 MiB
00:13:34 4 %, 1315 MiB
00:13:39 3 %, 1315 MiB
00:13:44 2 %, 1315 MiB
00:13:50 6 %, 1315 MiB
00:13:55 4 %, 1315 MiB
00:14:00 4 %, 1315 MiB
00:14:06 5 %, 1315 MiB
00:14:11 7 %, 1315 MiB
00:14:16 3 %, 1315 MiB
00:14:22 6 %, 1315 MiB
00:14:27 5 %, 1315 MiB
00:14:32 4 %, 1315 MiB
00:14:38 3 %, 1315 MiB
00:14:43 3 %, 1315 MiB
00:14:48 10 %, 1315 MiB
00:14:54 3 %, 1315 MiB
00:14:59 5 %, 1315 MiB
00:15:04 7 %, 1315 MiB
00:15:10 2 %, 1315 MiB
00:15:15 7 %, 1315 MiB
00:15:20 5 %, 1315 MiB
00:15:26 5 %, 1315 MiB
00:15:31 7 %, 1315 MiB
00:15:36 5 %, 1315 MiB
00:15:42 7 %, 1315 MiB
00:15:47 2 %, 1315 MiB
00:15:53 6 %, 1315 MiB
00:15:58 5 %, 1315 MiB
00:16:03 5 %, 1315 MiB
00:16:09 4 %, 1315 MiB
00:16:14 3 %, 1315 MiB
00:16:19 6 %, 1315 MiB
00:16:24 8 %, 1315 MiB
00:16:30 4 %, 1315 MiB
00:16:35 6 %, 1315 MiB
00:16:41 10 %, 1315 MiB
00:16:46 7 %, 1315 MiB
00:16:51 6 %, 1315 MiB
00:16:57 3 %, 1315 MiB
00:17:02 3 %, 1315 MiB
00:17:07 7 %, 1315 MiB
00:17:13 7 %, 1315 MiB
00:17:18 5 %, 1315 MiB
00:17:23 6 %, 1315 MiB
00:17:29 4 %, 1315 MiB
00:17:34 3 %, 1315 MiB
00:17:40 1 %, 1315 MiB
00:17:45 8 %, 1315 MiB
00:17:50 7 %, 1315 MiB
00:17:56 9 %, 1315 MiB
00:18:01 9 %, 1315 MiB
00:18:07 2 %, 1315 MiB
00:18:12 3 %, 1315 MiB
00:18:17 4 %, 1315 MiB
00:18:23 10 %, 1315 MiB
00:18:28 7 %, 1315 MiB
00:18:33 5 %, 1315 MiB
00:18:39 11 %, 1315 MiB
00:18:44 4 %, 1315 MiB
00:18:49 3 %, 1315 MiB
00:18:55 7 %, 1315 MiB
00:19:00 7 %, 1315 MiB
00:19:05 7 %, 1315 MiB
00:19:11 6 %, 1315 MiB
00:19:16 11 %, 1315 MiB
00:19:21 2 %, 1315 MiB
00:19:27 3 %, 1315 MiB
00:19:32 8 %, 1315 MiB
00:19:37 11 %, 1567 MiB
00:19:43 17 %, 1837 MiB
00:19:48 20 %, 1841 MiB
00:19:53 18 %, 1845 MiB
00:19:58 6 %, 1811 MiB
00:20:04 7 %, 1775 MiB
00:20:09 7 %, 1775 MiB
00:20:15 13 %, 2035 MiB
00:20:20 10 %, 2043 MiB
00:20:25 10 %, 2031 MiB
00:20:31 7 %, 2031 MiB
00:20:36 7 %, 2005 MiB
00:20:42 2 %, 2005 MiB
00:20:47 2 %, 2005 MiB
00:20:52 3 %, 2005 MiB
00:20:58 8 %, 2005 MiB
00:21:03 8 %, 2005 MiB
00:21:08 6 %, 2005 MiB
00:21:14 6 %, 2005 MiB
00:21:19 6 %, 2005 MiB
00:21:25 7 %, 2005 MiB
00:21:30 3 %, 2005 MiB
00:21:36 3 %, 2005 MiB
00:21:41 3 %, 2005 MiB
00:21:46 3 %, 2005 MiB
00:21:52 5 %, 2005 MiB
00:21:57 6 %, 2005 MiB
00:22:02 8 %, 2005 MiB
00:22:08 7 %, 2005 MiB
00:22:13 3 %, 2005 MiB
00:22:18 2 %, 2005 MiB
00:22:24 6 %, 2005 MiB
00:22:29 3 %, 2005 MiB
00:22:34 3 %, 2005 MiB
00:22:40 4 %, 2005 MiB
00:22:45 6 %, 2005 MiB
00:22:50 3 %, 2005 MiB
00:22:56 4 %, 2005 MiB
00:23:01 6 %, 2005 MiB
00:23:07 7 %, 2005 MiB
00:23:12 9 %, 2005 MiB
00:23:17 2 %, 2005 MiB
00:23:23 7 %, 2005 MiB
00:23:28 2 %, 2005 MiB
00:23:34 9 %, 2005 MiB
00:23:39 6 %, 2005 MiB
00:23:44 7 %, 2005 MiB
00:23:50 8 %, 2005 MiB
00:23:55 1 %, 2005 MiB
00:24:00 4 %, 2005 MiB
00:24:06 2 %, 2005 MiB
00:24:11 11 %, 2005 MiB
00:24:16 4 %, 2005 MiB
00:24:22 2 %, 2005 MiB
00:24:27 2 %, 2005 MiB
00:24:32 5 %, 2273 MiB
00:24:37 7 %, 2269 MiB
00:24:43 4 %, 2269 MiB
00:24:48 4 %, 2233 MiB
00:24:53 5 %, 2233 MiB
00:24:59 9 %, 2233 MiB
00:25:04 7 %, 2233 MiB
00:25:10 7 %, 2233 MiB
00:25:15 8 %, 2233 MiB
00:25:20 7 %, 2233 MiB
00:25:26 5 %, 2233 MiB
00:25:31 7 %, 2233 MiB
00:25:36 4 %, 2233 MiB
00:25:42 4 %, 2233 MiB
00:25:47 5 %, 2233 MiB
00:25:52 2 %, 2233 MiB
00:25:58 3 %, 2233 MiB
00:26:03 5 %, 2233 MiB
00:26:08 6 %, 2233 MiB
00:26:14 6 %, 2233 MiB
00:26:19 7 %, 2233 MiB
00:26:24 6 %, 2233 MiB
00:26:30 4 %, 2233 MiB
00:26:35 11 %, 2233 MiB
00:26:40 8 %, 2233 MiB
00:26:46 8 %, 2233 MiB
00:26:51 6 %, 2233 MiB
00:26:56 4 %, 2233 MiB
00:27:02 2 %, 2233 MiB
00:27:07 4 %, 2233 MiB
00:27:12 5 %, 2233 MiB
00:27:18 8 %, 2233 MiB
00:27:23 7 %, 2233 MiB
00:27:28 4 %, 2233 MiB
00:27:34 2 %, 2233 MiB
00:27:39 2 %, 2233 MiB
00:27:44 3 %, 2233 MiB
00:27:50 4 %, 2233 MiB
00:27:55 6 %, 2233 MiB
00:28:00 6 %, 2233 MiB
00:28:06 1 %, 2233 MiB
00:28:11 1 %, 2233 MiB
00:28:16 2 %, 2233 MiB
00:28:22 2 %, 2233 MiB
00:28:27 5 %, 2233 MiB
00:28:32 10 %, 2233 MiB
00:28:38 6 %, 2233 MiB
00:28:43 4 %, 2233 MiB
00:28:48 5 %, 2233 MiB
00:28:54 3 %, 2233 MiB
00:28:59 2 %, 2233 MiB
00:29:04 4 %, 2233 MiB
00:29:10 0 %, 2233 MiB
00:29:15 2 %, 2233 MiB
00:29:20 2 %, 2233 MiB
00:29:26 2 %, 2233 MiB
00:29:31 3 %, 2233 MiB
00:29:36 3 %, 2233 MiB
00:29:42 3 %, 2233 MiB
00:29:47 5 %, 2233 MiB
00:29:53 4 %, 2233 MiB
00:29:58 4 %, 2233 MiB
00:30:03 7 %, 2233 MiB
00:30:09 3 %, 2233 MiB
00:30:14 8 %, 2233 MiB
00:30:19 5 %, 2233 MiB
00:30:25 15 %, 2233 MiB
00:30:30 6 %, 2233 MiB
00:30:35 8 %, 2233 MiB
00:30:41 3 %, 2233 MiB
00:30:46 8 %, 2233 MiB
00:30:51 3 %, 2233 MiB
00:30:57 2 %, 2233 MiB
00:31:02 3 %, 2233 MiB
00:31:07 2 %, 2233 MiB
00:31:12 5 %, 2233 MiB
00:31:18 6 %, 2233 MiB
00:31:23 8 %, 2233 MiB
00:31:28 6 %, 2233 MiB
00:31:34 5 %, 2233 MiB
00:31:39 8 %, 2233 MiB
00:31:45 5 %, 2233 MiB
00:31:50 6 %, 2233 MiB
00:31:55 9 %, 2233 MiB
00:32:01 6 %, 2233 MiB
00:32:06 2 %, 2233 MiB
00:32:11 2 %, 2233 MiB
00:32:16 3 %, 2233 MiB
00:32:22 2 %, 2233 MiB
00:32:27 4 %, 2233 MiB
00:32:32 5 %, 2233 MiB
00:32:38 3 %, 2233 MiB
00:32:43 6 %, 2233 MiB
00:32:49 6 %, 2233 MiB
00:32:54 7 %, 2233 MiB
00:33:00 5 %, 2233 MiB
00:33:05 5 %, 2233 MiB
00:33:10 6 %, 2233 MiB
00:33:16 8 %, 2233 MiB
00:33:21 6 %, 2233 MiB
00:33:26 7 %, 2233 MiB
00:33:32 8 %, 2233 MiB
00:33:37 9 %, 2233 MiB
00:33:42 4 %, 2233 MiB
00:33:48 8 %, 2233 MiB
00:33:53 2 %, 2233 MiB
00:33:58 2 %, 2233 MiB
00:34:04 3 %, 2233 MiB
00:34:09 2 %, 2233 MiB
00:34:14 6 %, 2233 MiB
00:34:20 4 %, 2233 MiB
00:34:25 6 %, 2233 MiB
00:34:30 6 %, 2233 MiB
00:34:36 9 %, 2233 MiB
00:34:41 5 %, 2233 MiB
00:34:47 4 %, 2233 MiB
00:34:52 10 %, 2233 MiB
00:34:57 6 %, 2233 MiB
00:35:03 5 %, 2233 MiB
00:35:08 8 %, 2233 MiB
00:35:13 6 %, 2233 MiB
00:35:19 5 %, 2233 MiB
00:35:24 2 %, 2233 MiB
00:35:30 2 %, 2233 MiB
00:35:35 2 %, 2233 MiB
00:35:40 3 %, 2233 MiB
00:35:45 11 %, 2233 MiB
00:35:51 7 %, 2233 MiB
00:35:56 3 %, 2233 MiB
00:36:01 6 %, 2233 MiB
00:36:07 7 %, 2233 MiB
00:36:12 3 %, 2233 MiB
00:36:17 4 %, 2233 MiB
00:36:23 6 %, 2233 MiB
00:36:28 7 %, 2233 MiB
00:36:33 6 %, 2233 MiB
00:36:39 5 %, 2233 MiB
00:36:44 2 %, 2233 MiB
00:36:49 2 %, 2233 MiB
00:36:55 2 %, 2233 MiB
00:37:00 5 %, 2233 MiB
00:37:06 3 %, 2233 MiB
00:37:11 7 %, 2233 MiB
00:37:17 9 %, 2233 MiB
00:37:22 10 %, 2233 MiB
00:37:27 3 %, 2233 MiB
00:37:32 4 %, 2233 MiB
00:37:38 6 %, 2233 MiB
00:37:43 9 %, 2261 MiB
00:37:48 8 %, 2261 MiB
00:37:54 2 %, 2237 MiB
00:37:59 3 %, 2237 MiB
00:38:04 3 %, 2237 MiB
00:38:10 6 %, 2269 MiB
00:38:15 6 %, 2275 MiB
00:38:20 5 %, 2275 MiB
00:38:26 4 %, 2275 MiB
00:38:31 14 %, 2275 MiB
00:38:36 8 %, 2241 MiB
00:38:42 6 %, 2241 MiB
00:38:47 6 %, 2241 MiB
00:38:52 7 %, 2273 MiB
00:38:58 10 %, 2275 MiB
00:39:03 11 %, 2279 MiB
00:39:09 7 %, 2245 MiB
00:39:14 12 %, 2245 MiB
00:39:19 12 %, 2245 MiB
00:39:25 9 %, 2245 MiB
00:39:30 5 %, 2245 MiB
00:39:36 3 %, 2245 MiB
00:39:41 2 %, 2245 MiB
00:39:47 6 %, 2245 MiB
00:39:52 7 %, 2245 MiB
00:39:57 6 %, 2245 MiB
00:40:03 2 %, 2245 MiB
00:40:08 3 %, 2245 MiB
00:40:14 3 %, 2245 MiB
00:40:19 10 %, 2245 MiB
00:40:24 7 %, 2245 MiB
00:40:30 5 %, 2245 MiB
00:40:35 7 %, 2245 MiB
00:40:40 7 %, 2245 MiB
00:40:46 5 %, 2245 MiB
00:40:51 9 %, 2245 MiB
00:40:57 5 %, 2245 MiB
00:41:02 4 %, 2245 MiB
00:41:07 3 %, 2245 MiB
00:41:13 5 %, 2245 MiB
00:41:18 8 %, 2245 MiB
00:41:23 6 %, 2245 MiB
00:41:29 2 %, 2245 MiB
00:41:34 3 %, 2245 MiB
00:41:39 3 %, 2245 MiB
00:41:45 5 %, 2245 MiB
00:41:50 5 %, 2245 MiB
00:41:55 6 %, 2245 MiB
00:42:01 10 %, 2245 MiB
00:42:06 6 %, 2245 MiB
00:42:12 4 %, 2245 MiB
00:42:17 3 %, 2245 MiB
00:42:22 3 %, 2245 MiB
00:42:28 3 %, 2245 MiB
00:42:33 6 %, 2245 MiB
00:42:38 3 %, 2245 MiB
00:42:44 7 %, 2245 MiB
00:42:49 7 %, 2245 MiB
00:42:54 9 %, 2245 MiB
00:43:00 7 %, 2245 MiB
00:43:05 2 %, 2245 MiB
00:43:11 3 %, 2245 MiB
00:43:16 2 %, 2245 MiB
00:43:21 4 %, 2245 MiB
00:43:27 8 %, 2245 MiB
00:43:32 4 %, 2245 MiB
00:43:37 6 %, 2245 MiB
00:43:43 11 %, 2245 MiB
00:43:48 5 %, 2245 MiB
00:43:53 4 %, 2245 MiB
00:43:59 3 %, 2245 MiB
00:44:04 5 %, 2245 MiB
00:44:09 10 %, 2245 MiB
00:44:15 5 %, 2245 MiB
00:44:20 4 %, 2245 MiB
00:44:25 3 %, 2245 MiB
00:44:31 2 %, 2245 MiB
00:44:36 3 %, 2245 MiB
00:44:41 11 %, 2245 MiB
00:44:47 8 %, 2245 MiB
00:44:52 7 %, 2245 MiB
00:44:57 6 %, 2245 MiB
00:45:03 8 %, 2245 MiB
00:45:08 3 %, 2245 MiB
00:45:14 5 %, 2245 MiB
00:45:19 7 %, 2245 MiB
00:45:24 9 %, 2245 MiB
00:45:30 2 %, 2245 MiB
00:45:35 2 %, 2245 MiB
00:45:40 6 %, 2245 MiB
00:45:46 3 %, 2245 MiB
00:45:51 3 %, 2245 MiB
00:45:56 4 %, 2245 MiB
00:46:02 3 %, 2245 MiB
00:46:07 3 %, 2245 MiB
00:46:12 7 %, 2245 MiB
00:46:18 6 %, 2245 MiB
00:46:23 4 %, 2245 MiB
00:46:28 5 %, 2245 MiB
00:46:34 5 %, 2245 MiB
00:46:39 6 %, 2245 MiB
00:46:44 7 %, 2245 MiB
00:46:50 5 %, 2245 MiB
00:46:55 4 %, 2245 MiB
00:47:00 5 %, 2245 MiB
00:47:06 1 %, 2245 MiB
00:47:11 2 %, 2245 MiB
00:47:16 2 %, 2245 MiB
00:47:21 1 %, 2245 MiB
00:47:27 2 %, 2245 MiB
00:47:32 2 %, 2245 MiB
00:47:38 8 %, 2245 MiB
00:47:43 3 %, 2245 MiB
00:47:48 8 %, 2245 MiB
00:47:54 8 %, 2245 MiB
00:47:59 4 %, 2245 MiB
00:48:04 5 %, 2245 MiB
00:48:10 4 %, 2245 MiB
00:48:15 9 %, 2245 MiB
00:48:20 3 %, 2245 MiB
00:48:26 6 %, 2245 MiB
00:48:31 4 %, 2245 MiB
00:48:37 5 %, 2245 MiB
00:48:42 6 %, 2245 MiB
00:48:47 5 %, 2245 MiB
00:48:53 2 %, 2245 MiB
00:48:58 2 %, 2245 MiB
00:49:03 6 %, 2245 MiB
00:49:08 3 %, 2245 MiB
00:49:14 6 %, 2245 MiB
00:49:19 8 %, 2245 MiB
00:49:25 6 %, 2245 MiB
00:49:30 5 %, 2245 MiB
00:49:36 3 %, 2245 MiB
00:49:41 7 %, 2245 MiB
00:49:46 8 %, 2245 MiB
00:49:52 4 %, 2245 MiB
00:49:57 3 %, 2245 MiB
00:50:02 5 %, 2245 MiB
00:50:08 6 %, 2245 MiB
00:50:13 2 %, 2245 MiB
00:50:18 1 %, 2245 MiB
00:50:24 2 %, 2245 MiB
00:50:29 3 %, 2245 MiB
00:50:35 4 %, 2245 MiB
00:50:40 4 %, 2245 MiB
00:50:45 3 %, 2245 MiB
00:50:51 8 %, 2245 MiB
00:50:56 6 %, 2245 MiB
00:51:01 2 %, 2245 MiB
00:51:07 4 %, 2245 MiB
00:51:12 5 %, 2245 MiB
00:51:18 3 %, 2245 MiB
00:51:23 5 %, 2245 MiB
00:51:28 7 %, 2245 MiB
00:51:33 5 %, 2245 MiB
00:51:39 13 %, 2277 MiB
00:51:44 4 %, 2285 MiB
00:51:49 14 %, 2285 MiB
00:51:55 2 %, 2253 MiB
00:52:00 2 %, 2253 MiB
00:52:05 5 %, 2253 MiB
00:52:11 7 %, 2253 MiB
00:52:16 6 %, 2253 MiB
00:52:22 4 %, 2253 MiB
00:52:27 3 %, 2253 MiB
00:52:32 7 %, 2253 MiB
00:52:38 7 %, 2253 MiB
00:52:43 3 %, 2253 MiB
00:52:48 4 %, 2253 MiB
00:52:54 6 %, 2253 MiB
00:52:59 2 %, 2253 MiB
00:53:04 10 %, 2253 MiB
00:53:10 7 %, 2253 MiB
00:53:15 5 %, 2253 MiB
00:53:20 2 %, 2253 MiB
00:53:26 2 %, 2253 MiB
00:53:31 3 %, 2253 MiB
00:53:36 8 %, 2253 MiB
00:53:42 3 %, 2253 MiB
00:53:47 6 %, 2253 MiB
00:53:53 8 %, 2253 MiB
00:53:58 6 %, 2253 MiB
00:54:03 10 %, 2253 MiB
00:54:09 5 %, 2253 MiB
00:54:14 4 %, 2253 MiB
00:54:19 11 %, 2279 MiB
00:54:25 10 %, 2281 MiB
00:54:30 8 %, 2281 MiB
00:54:36 6 %, 2287 MiB
00:54:41 6 %, 2283 MiB
00:54:46 2 %, 2257 MiB
00:54:52 3 %, 2257 MiB
00:54:57 4 %, 2257 MiB
00:55:02 11 %, 2285 MiB
00:55:08 10 %, 2285 MiB
00:55:13 10 %, 2283 MiB
00:55:18 8 %, 2261 MiB
00:55:24 6 %, 2261 MiB
00:55:29 6 %, 2261 MiB
00:55:35 3 %, 2261 MiB
00:55:40 7 %, 2261 MiB
00:55:46 5 %, 2261 MiB
00:55:51 7 %, 2261 MiB
00:55:57 3 %, 2261 MiB
00:56:02 1 %, 2261 MiB
00:56:07 1 %, 2261 MiB
00:56:13 3 %, 2289 MiB
00:56:18 7 %, 2289 MiB
00:56:24 8 %, 2289 MiB
00:56:29 4 %, 2295 MiB
00:56:34 4 %, 2293 MiB
00:56:40 5 %, 2295 MiB
00:56:45 5 %, 2291 MiB
00:56:50 6 %, 2265 MiB
00:56:56 4 %, 2265 MiB
00:57:01 9 %, 2265 MiB
00:57:06 5 %, 2265 MiB
00:57:12 7 %, 2265 MiB
00:57:17 5 %, 2265 MiB
00:57:22 3 %, 2265 MiB
00:57:28 3 %, 2265 MiB
00:57:33 9 %, 2265 MiB
00:57:38 5 %, 2265 MiB
00:57:44 4 %, 2265 MiB
00:57:49 5 %, 2265 MiB
00:57:55 5 %, 2265 MiB
00:58:00 8 %, 2265 MiB
00:58:05 7 %, 2265 MiB
00:58:11 6 %, 2265 MiB
00:58:16 5 %, 2265 MiB
00:58:21 4 %, 2265 MiB
00:58:27 6 %, 2265 MiB
00:58:32 6 %, 2265 MiB
00:58:37 8 %, 2265 MiB
00:58:43 5 %, 2265 MiB
00:58:48 3 %, 2265 MiB
00:58:53 3 %, 2265 MiB
00:58:59 3 %, 2265 MiB
00:59:04 3 %, 2265 MiB
00:59:09 5 %, 2265 MiB
00:59:15 7 %, 2265 MiB
00:59:20 3 %, 2265 MiB
00:59:25 2 %, 2265 MiB
00:59:31 3 %, 2265 MiB
00:59:36 5 %, 2265 MiB
00:59:41 7 %, 2265 MiB
00:59:47 7 %, 2265 MiB
00:59:52 7 %, 2265 MiB
00:59:57 8 %, 2265 MiB
01:00:03 6 %, 2265 MiB
01:00:08 3 %, 2265 MiB
01:00:13 2 %, 2265 MiB
01:00:19 12 %, 2265 MiB
01:00:24 3 %, 2265 MiB
01:00:30 5 %, 2265 MiB
01:00:35 6 %, 2265 MiB
01:00:40 6 %, 2265 MiB
01:00:46 5 %, 2265 MiB
01:00:51 7 %, 2265 MiB
01:00:57 8 %, 2265 MiB
01:01:02 4 %, 2265 MiB
01:01:07 2 %, 2265 MiB
01:01:13 3 %, 2265 MiB
01:01:18 3 %, 2265 MiB
01:01:23 7 %, 2265 MiB
01:01:29 4 %, 2265 MiB
01:01:34 8 %, 2265 MiB
01:01:39 6 %, 2265 MiB
01:01:45 9 %, 2265 MiB
01:01:50 6 %, 2265 MiB
01:01:55 5 %, 2265 MiB
01:02:00 5 %, 2265 MiB
01:02:06 11 %, 2265 MiB
01:02:11 10 %, 2265 MiB
01:02:16 6 %, 2265 MiB
01:02:22 2 %, 2265 MiB
01:02:27 2 %, 2265 MiB
01:02:32 1 %, 2265 MiB
01:02:38 1 %, 2265 MiB
01:02:43 4 %, 2265 MiB
01:02:48 4 %, 2265 MiB
01:02:54 5 %, 2265 MiB
01:02:59 8 %, 2265 MiB
01:03:05 9 %, 2265 MiB
01:03:10 6 %, 2265 MiB
01:03:15 6 %, 2265 MiB
01:03:21 2 %, 2265 MiB
01:03:26 5 %, 2265 MiB
01:03:31 3 %, 2265 MiB
01:03:37 3 %, 2265 MiB
01:03:42 1 %, 2265 MiB
01:03:47 1 %, 2265 MiB
01:03:53 7 %, 2265 MiB
01:03:58 8 %, 2265 MiB
01:04:03 7 %, 2265 MiB
01:04:09 7 %, 2265 MiB
01:04:14 3 %, 2265 MiB
01:04:19 2 %, 2265 MiB
01:04:25 3 %, 2265 MiB
01:04:30 2 %, 2265 MiB
01:04:35 3 %, 2265 MiB
01:04:40 1 %, 2265 MiB
01:04:45 2 %, 2265 MiB
01:04:51 4 %, 2265 MiB
01:04:56 1 %, 2265 MiB
01:05:01 4 %, 2265 MiB
01:05:07 3 %, 2265 MiB
01:05:12 5 %, 2265 MiB
01:05:17 3 %, 2265 MiB
01:05:23 5 %, 2265 MiB
01:05:28 6 %, 2265 MiB
01:05:34 2 %, 2265 MiB
01:05:39 2 %, 2265 MiB
01:05:44 1 %, 2265 MiB
01:05:50 4 %, 2265 MiB
01:05:55 6 %, 2265 MiB
01:06:00 4 %, 2265 MiB
01:06:06 2 %, 2265 MiB
01:06:11 2 %, 2265 MiB
01:06:16 7 %, 2265 MiB
01:06:22 8 %, 2265 MiB
01:06:27 7 %, 2265 MiB
01:06:32 4 %, 2265 MiB
01:06:38 8 %, 2265 MiB
01:06:43 8 %, 2265 MiB
01:06:49 8 %, 2265 MiB
01:06:54 4 %, 2265 MiB
01:06:59 3 %, 2265 MiB
01:07:05 6 %, 2265 MiB
01:07:10 3 %, 2265 MiB
01:07:15 9 %, 2265 MiB
01:07:21 3 %, 2265 MiB
01:07:26 3 %, 2265 MiB
01:07:31 6 %, 2265 MiB
01:07:37 6 %, 2265 MiB
01:07:42 7 %, 2265 MiB
01:07:48 4 %, 2265 MiB
01:07:53 6 %, 2265 MiB
01:07:59 5 %, 2265 MiB
01:08:04 9 %, 2265 MiB
01:08:09 5 %, 2265 MiB
01:08:15 3 %, 2265 MiB
01:08:20 4 %, 2265 MiB
01:08:25 2 %, 2265 MiB
01:08:31 4 %, 2265 MiB
01:08:36 5 %, 2265 MiB
01:08:41 6 %, 2265 MiB
01:08:47 9 %, 2265 MiB
01:08:52 6 %, 2265 MiB
01:08:58 2 %, 2265 MiB
01:09:03 8 %, 2265 MiB
01:09:08 4 %, 2265 MiB
01:09:14 10 %, 2265 MiB
01:09:19 8 %, 2265 MiB
01:09:24 5 %, 2265 MiB
01:09:30 9 %, 2265 MiB
01:09:35 4 %, 2265 MiB
01:09:40 7 %, 2265 MiB
01:09:46 7 %, 2265 MiB
01:09:51 5 %, 2265 MiB
01:09:57 9 %, 2265 MiB
01:10:02 2 %, 2265 MiB
01:10:07 5 %, 2265 MiB
01:10:13 4 %, 2265 MiB
01:10:18 3 %, 2265 MiB
01:10:23 2 %, 2265 MiB
01:10:29 7 %, 2265 MiB
01:10:34 7 %, 2265 MiB
01:10:39 6 %, 2265 MiB
01:10:45 3 %, 2295 MiB
01:10:50 4 %, 2295 MiB
01:10:55 12 %, 2291 MiB
01:11:01 7 %, 2295 MiB
01:11:06 7 %, 2295 MiB
01:11:11 6 %, 2295 MiB
01:11:17 4 %, 2255 MiB
01:11:22 2 %, 2255 MiB
01:11:27 7 %, 2255 MiB
01:11:33 7 %, 2255 MiB
01:11:38 4 %, 2255 MiB
01:11:44 2 %, 2255 MiB
01:11:49 2 %, 2255 MiB
01:11:54 6 %, 2255 MiB
01:12:00 6 %, 2255 MiB
01:12:05 9 %, 2255 MiB
01:12:11 10 %, 2255 MiB
01:12:16 5 %, 2255 MiB
01:12:21 7 %, 2255 MiB
01:12:27 3 %, 2255 MiB
01:12:32 8 %, 2255 MiB
01:12:38 6 %, 2255 MiB
01:12:43 10 %, 2255 MiB
01:12:49 3 %, 2255 MiB
01:12:54 4 %, 2255 MiB
01:13:00 3 %, 2255 MiB
01:13:05 3 %, 2255 MiB
01:13:11 9 %, 2255 MiB
01:13:16 9 %, 2255 MiB
01:13:21 4 %, 2255 MiB
01:13:27 8 %, 2255 MiB
01:13:32 5 %, 2255 MiB
01:13:38 5 %, 2255 MiB
01:13:43 6 %, 2255 MiB
01:13:48 4 %, 2255 MiB
01:13:54 10 %, 2285 MiB
01:13:59 20 %, 2309 MiB
01:14:04 13 %, 2301 MiB
01:14:10 9 %, 2267 MiB
01:14:15 8 %, 2235 MiB
01:14:20 4 %, 2235 MiB
01:14:26 5 %, 2235 MiB
01:14:31 6 %, 2235 MiB
01:14:36 4 %, 2235 MiB
01:14:42 7 %, 2235 MiB
01:14:47 2 %, 2235 MiB
01:14:53 3 %, 2235 MiB
01:14:58 4 %, 2235 MiB
01:15:03 6 %, 2235 MiB
01:15:09 7 %, 2235 MiB
01:15:14 6 %, 2235 MiB
01:15:19 2 %, 2235 MiB
01:15:25 3 %, 2235 MiB
01:15:30 8 %, 2235 MiB
01:15:35 8 %, 2235 MiB
01:15:41 5 %, 2235 MiB
01:15:46 5 %, 2235 MiB
01:15:52 5 %, 2235 MiB
01:15:57 7 %, 2267 MiB
01:16:02 8 %, 2263 MiB
01:16:08 5 %, 2263 MiB
01:16:13 3 %, 2267 MiB
01:16:18 4 %, 2231 MiB
01:16:24 9 %, 2231 MiB
01:16:29 9 %, 2231 MiB
01:16:35 2 %, 2231 MiB
01:16:40 5 %, 2231 MiB
01:16:45 6 %, 2231 MiB
01:16:51 9 %, 2231 MiB
01:16:56 11 %, 2231 MiB
01:17:01 5 %, 2231 MiB
01:17:07 7 %, 2231 MiB
01:17:12 7 %, 2231 MiB
01:17:18 9 %, 2231 MiB
01:17:23 8 %, 2231 MiB
01:17:28 9 %, 2231 MiB
01:17:34 5 %, 2231 MiB
01:17:39 4 %, 2231 MiB
01:17:45 2 %, 2231 MiB
01:17:50 2 %, 2231 MiB
01:17:55 3 %, 2231 MiB
01:18:01 2 %, 2231 MiB
01:18:06 5 %, 2231 MiB
01:18:11 6 %, 2231 MiB
01:18:16 6 %, 2231 MiB
01:18:22 8 %, 2231 MiB
01:18:27 5 %, 2231 MiB
01:18:33 4 %, 2231 MiB
01:18:38 5 %, 2231 MiB
01:18:43 5 %, 2231 MiB
01:18:48 8 %, 2231 MiB
01:18:54 9 %, 2231 MiB
